Fecha,Fecha_Raw,Hora,Equipo_Local,Equipo_Visitante,Estadio,Partido_ID,Continente,Pais,Competicion,ID_Competicion,Torneo_ID,Temporada,URL_Partido,Estado_Partido,Nivel_Cobertura,Ultima_Actualizacion,Asistencia,Clima_Temperatura,Clima_Condiciones
2026-05-17,2026-05-17Z,,Antalyaspor,Kocaelispor,Corendon Airlines Park,ajbafro5z4a2otgr49r2mow0k,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/ajbafro5z4a2otgr49r2mow0k/player-stats,,13,2025-12-04T14:20:10Z,,,
2026-05-17,2026-05-17Z,,Trabzonspor,Gençlerbirliği,Papara Park,aix967hfw9rnneyabhnjcslxw,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/aix967hfw9rnneyabhnjcslxw/player-stats,,13,2025-12-03T16:45:54Z,,,
2026-05-17,2026-05-17Z,,Kasımpaşa,Galatasaray,Recep Tayyip Erdoğan Stadyumu,aij1g0c4bk0hg957fn1tj687o,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/aij1g0c4bk0hg957fn1tj687o/player-stats,,13,2025-12-04T16:25:32Z,,,
2026-05-17,2026-05-17Z,,Samsunspor,Göztepe,Samsun Yeni 19 Mayıs Stadyumu,ai4wtw04n1f14zfpma655dez8,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/ai4wtw04n1f14zfpma655dez8/player-stats,,13,2025-11-06T17:01:38Z,,,
2026-05-17,2026-05-17Z,,Gaziantep FK,İstanbul Başakşehir,Gaziantep Stadyumu,ahqo4t6dfovh349kumv3omxas,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/ahqo4t6dfovh349kumv3omxas/player-stats,,13,2025-12-04T09:19:45Z,,,
2026-05-17,2026-05-17Z,,Fatih Karagümrük,Alanyaspor,Atatürk Olimpiyat Stadı,ahcj9qfxwt3zzs8q4dq1ae044,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/ahcj9qfxwt3zzs8q4dq1ae044/player-stats,,13,2025-12-04T16:51:37Z,,,
2026-05-17,2026-05-17Z,,Rizespor,Beşiktaş,Çaykur Didi Stadyumu,agyg7ecbj25xdjcpvcwpm5ic4,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/agyg7ecbj25xdjcpvcwpm5ic4/player-stats,,13,2025-12-03T21:12:53Z,,,
2026-05-17,2026-05-17Z,,Kayserispor,Konyaspor,RHG Enertürk Enerji Stadyumu,agke9nlwijbjdkmjr7hitmqs4,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/agke9nlwijbjdkmjr7hitmqs4/player-stats,,13,2025-12-02T12:01:18Z,,,
2026-05-17,2026-05-17Z,,Fenerbahçe,Eyüpspor,Chobani Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,ag68zyx2ob3twuw1hc1nyvqj8,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/ag68zyx2ob3twuw1hc1nyvqj8/player-stats,,13,2025-12-11T19:09:13Z,,,
2026-05-10,2026-05-10Z,,Alanyaspor,Kayserispor,GAIN Park Stadium,afs6vp9jric19jckwp0xoa8lw,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/afs6vp9jric19jckwp0xoa8lw/player-stats,,13,2025-12-04T16:51:37Z,,,
2026-05-10,2026-05-10Z,,Eyüpspor,Rizespor,,afdyjox1xlgf29fdjj401v3tg,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/afdyjox1xlgf29fdjj401v3tg/player-stats,,13,2025-12-06T12:06:14Z,,,
