Fecha,Fecha_Raw,Hora,Equipo_Local,Equipo_Visitante,Estadio,Partido_ID,Continente,Pais,Competicion,ID_Competicion,Torneo_ID,Temporada,URL_Partido,Estado_Partido,Nivel_Cobertura,Ultima_Actualizacion,Asistencia,Clima_Temperatura,Clima_Condiciones
2025-12-21,2025-12-21Z,,El Nacional,Delfín,,ehd3tdzo4g0tqv5nfrkxazllg,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/ehd3tdzo4g0tqv5nfrkxazllg/player-stats,,13,2025-11-23T18:15:34Z,,,
2025-12-21,2025-12-21Z,,Aucas,Macará,,eh0toatio7g9mi15b32zc2plg,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/eh0toatio7g9mi15b32zc2plg/player-stats,,13,2025-10-20T04:06:08Z,,,
2025-12-21,2025-12-21Z,,Deportivo Cuenca,Emelec,,egn8ltp4srpi3ymmhiloo7pqs,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/egn8ltp4srpi3ymmhiloo7pqs/player-stats,,13,2025-12-08T23:23:31Z,,,
2025-12-21,2025-12-21Z,,Orense,Libertad,,81k9rucn5fsfth6bewjjxdkic,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/81k9rucn5fsfth6bewjjxdkic/player-stats,,13,2025-11-29T20:58:31Z,,,
2025-12-21,2025-12-21Z,,LDU Quito,Universidad Católica,,817d4tm6l0czi7gvkvgfo0g7o,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/817d4tm6l0czi7gvkvgfo0g7o/player-stats,,13,2025-10-04T23:33:29Z,,,
2025-12-21,2025-12-21Z,,Independiente Valle,Barcelona,,80t2fem709xbokkcjcgdfb95g,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/80t2fem709xbokkcjcgdfb95g/player-stats,,13,2025-09-29T14:29:07Z,,,
2025-12-16,2025-12-16Z,00:00:00Z,Emelec,El Nacional,Estadio George Capwell Banco del Austro,egb1atln85lljuqs5a6p94iz8,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/egb1atln85lljuqs5a6p94iz8/player-stats,,13,2025-12-11T17:39:15Z,,,
2025-12-14,2025-12-14Z,21:30:00Z,Barcelona,Orense,Estadio Monumental Banco Pichincha,80g4guveu0uveglsxbw1ie4us,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/80g4guveu0uveglsxbw1ie4us/player-stats,,13,2025-12-11T07:37:20Z,,,
2025-12-14,2025-12-14Z,21:30:00Z,Libertad,LDU Quito,Estadio Federativo Reina del Cisne,8033wq8mlgnx0knu4ak7ty4us,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/8033wq8mlgnx0knu4ak7ty4us/player-stats,,13,2025-12-11T07:37:21Z,,,
2025-12-14,2025-12-14Z,21:30:00Z,Universidad Católica,Independiente Valle,Estadio Olímpico Atahualpa,7zpzv6hwv1wp3eipdv4k0uuj8,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/7zpzv6hwv1wp3eipdv4k0uuj8/player-stats,,13,2025-12-11T07:37:22Z,,,
